func_name,salary_from,salary_to
组织发展总监(od),30,50
组织发展经理/组织发展主管,15.3,21.7
总裁助理/总经理助理,15.8,24
总裁/总经理,26.8,44.2
综合业务经理/综合业务主管,10.3,19.7
自然语言处理算法工程师,15,25
资深战略顾问,30,50
资深人力资源顾问,30,40
资深财务咨询顾问,12,20
资深it咨询顾问,21.7,35.4
资产管理,15.5,31.7
咨询总监,15,25
咨询经理/咨询主管,18.5,23.5
政府事务管理,10,15
招聘经理/招聘主管,16.7,25.2
运营总监,15,21.6
运维总监,15,25
语音识别算法工程师,23.2,42.7
用户研究总监/用户研究经理,22.2,38.9
银行经理/银行主任,27.5,40.5
业务拓展经理/业务拓展主管,13.1,24.8
业务经理/业务主管,10.7,20
信息技术经理/信息技术主管,14.2,21.3
薪资福利经理/薪酬主管,12.5,21.1
销售总经理/销售副总裁,20.8,35
销售总监,17.2,24.7
销售运营经理/销售运营主管,17.3,29
销售经理/销售主管,15,21.7
销售行政经理/销售行政主管,9.2,15
项目总监,19,28.3
项目经理/项目主管,13.1,19.5
网络推广总监,22.7,36
推荐算法工程师,15,25
团购经理/团购主管,9.6,18.8
图像算法工程师,12,19
图像识别算法工程师,19.4,36.7
图像处理算法工程师,21.7,38.2
投资总监,19.3,29.5
投资者关系,14.3,27.5
投资经理,15.4,21
投资合伙人,16.7,28.5
投资vp,21.1,31.3
投融资经理/投融资主管,13.8,23.8
算法研究员,19.8,36.7
算法工程师,13,20.3
搜索算法工程师,21.9,37.9
税务经理/税务主管,17.2,22.2
数据总监,23.5,41.7
数据科学家,40,70
数据架构师,25.5,41.7
售前支持经理/售前支持主管,13.1,20
售后支持经理/售后支持主管,14.4,20.5
首席执行官/ceo,150,200
首席运营官/coo,30.5,52.7
首席信息官/cio,26.7,42.9
首席数据官/cdo,120,200
首席人力资源官/cho/hrvp,45.8,62.5
首席技术官/cto,26.7,43.3
首席财务官/cfo,25.4,47.5
视觉设计总监/视觉设计经理,17.2,25.6
事业部负责人,26,47.7
市场总监,18.3,24.9
市场拓展经理/市场拓展主管,15,24.2
市场通路经理/市场道路主管,15,22.2
市场企划经理/市场企划主管,14.2,20.6
市场经理/市场主管,18.3,27.3
市场产品经理/市场产品主管,15,21.3
审计经理/审计主管,14.7,21.1
深度学习算法工程师,22,41.7
设计总监,13.5,22
设计经理/设计主管,19.4,28.5
融资总监,16,24
融资经理/融资主管,10,15
人力资源总监,21.3,31.6
人力资源信息系统管理,11.7,18.8
人力资源经理/人力资源主管,11.5,19.6
渠道总监/分销总监,19.8,32.9
区域销售总监,16,24
区域销售经理/区域销售主管,10.8,21.9
企业秘书/董事会秘书,15,25
企业管理顾问,17.9,31.9
平面设计总监/平面设计经理,17.2,25.6
平面设计经理/平面设计主管,17.2,25.6
品牌经理/品牌主管,16.7,33.3
培训经理/培训主管,13,21.9
媒介销售总监,12.5,20
媒介经理/媒介主管,11.7,20.8
客户总监,10,15
客户经理/客户主管,16.7,25.2
客户服务总监,14,21.4
交互设计总监/交互设计经理,26.1,40
架构师,22.7,33.5
绩效经理/绩效主管,14.8,23.3
技术总监/研发总监,20.2,30.7
技术专家,16.7,25
技术经理/研发经理,19.7,29
技术合伙人,25,35
计算机视觉算法工程师,15.6,26.1
机器学习算法工程师,15,25
会展主管,8.3,15
会计经理/会计主管,14.2,19.8
合伙人,21.3,31.5
合规经理,13.8,22.5
行政总监,15,22.8
行政经理/行政主管,11.5,19.6
行长/副行长,17.9,26.3
广告项目管理/会展项目管理,11.7,21.7
广告客户总监,21.7,30
广告客户经理/广告客户主管,11.7,15
广告创意总监,25,40
广告创意经理/广告创意主管,12.5,20.8
公司业务客户经理,12.5,20
公司业务部门经理,23.3,39.2
公关总监,24,35
公关经理/公关主管,12.9,22.5
个人业务客户经理,15,25
个人业务部门经理,16,25.4
高级自动化测试工程师,17,29.3
高级资金管理,24.7,45.3
高级资产评估,20.8,35.8
高级证券分析,25,45
高级运营经理/高级运营主管,16.2,28.7
高级运维开发算法工程师,22.3,36.7
高级运维经理/高级运维主管,16.3,24.2
高级运维工程师,11.3,17.5
高级原画师,15.8,26.3
高级语音开发工程师,26.8,40.3
高级有线传输工程师,10,20
高级游戏制作人,34.4,57.8
高级游戏运营,13,21.7
高级游戏特效设计,15.4,29.4
高级游戏开发工程师,18.8,30.4
高级游戏界面设计师,16.7,27.3
高级游戏角色设计,18.9,32.3
高级游戏动作设计,15.3,31.7
高级游戏场景设计,17.8,23.1
高级游戏策划师,15,21.7
高级游戏测试工程师,14.3,25.2
高级用户运营,21.3,40.5
高级用户产品经理,22.5,39.5
高级硬件维护工程师,12,24
高级硬件开发工程师,18.3,30.3
高级硬件交互设计师,15,30
高级硬件产品经理,20,40
高级硬件测试工程师,14.5,22
高级移动通信工程师,21.7,33.3
高级移动前端开发工程师,19.6,29.2
高级移动开发工程师,17.1,30
高级移动端测试工程师,17.3,31
高级性能测试工程师,15,25
高级信息技术工程师,16.7,25.2
高级信托经理,16.3,25
高级新媒体运营,11.5,21
高级项目风控,19.4,31.7
高级线下拓展运营,25,40
高级系统集成工程师,15,25
高级系统安全算法工程师,23.3,40.8
高级微信运营,23.8,39.6
高级微博运营,16.7,23.3
高级网站运营,11.8,20.7
高级网站策划,14.4,23.9
高级网站编辑,11.9,21.7
高级网络信息安全工程师,18.8,30.8
高级网络推广经理/高级网络推广主管,13.8,23.7
高级网络工程师,17,26
高级网店运营,8.3,15
高级图形开发工程师,21.3,37.4
高级通信研发工程师,13.9,28.3
高级通信设备工程师,16,25
高级通信技术工程师,12,23
高级通信电源工程师,20,30
高级通信测试工程师,13,20
高级通信标准化工程师,12,22
高级特效设计师,16,28.5
